category,product_name,total_revenue_kategori
Outerwear & Coats,The North Face Apex Bionic Soft Shell Jacket - Men's,12642.0
Jeans,True Religion Men's Ricky Straight Jean,11693.550109863281
Shorts,AIR JORDAN DOMINATE SHORTS MENS 465071-100,9933.0
Outerwear & Coats,The North Face Apex Bionic Mens Soft Shell Ski Jacket 2013,9933.0
Outerwear & Coats,Darla,8991.0
Pants & Capris,Catherine Malandrino Women's Skinny Stretch Leather Pant,8055.0
Shorts,Alpha Industries Rip Stop Short,7992.0
Outerwear & Coats,Canada Goose Men's Citadel Parka,7950.0
Blazers & Jackets,Magaschoni Women's Shimmer Jacket,7678.0
Outerwear & Coats,Diesel Men's Lisardo Jacket,7580.0
Suits & Sport Coats,Joseph Abboud Men's Two-button Side Vent Sport Coat,7392.0
Active,ASCIS Cushion Low Socks (Pack of 3),7224.0
Jeans,Diesel Men's Shioner Skinny Straight Leg Jean,6935.749984741211
Outerwear & Coats,Mountain Hardwear Men's Nilas Down Jacket,6500.0
Sweaters,Magaschoni Women's 100% Cashmere Cable Sweater Jacket,6468.0
Active,The North Face Denali Down Womens Jacket 2013,6321.0
Active,The North Face Apex Bionic Soft Shell Jacket - Men's,6321.0
Outerwear & Coats,The North Face Women's S-XL Oso Jacket,6321.0
Active,JORDAN DURASHEEN SHORT MENS 404309-109,6321.0
Outerwear & Coats,The North Face Nuptse 2 Jacket Deep Water Blue Mens,6321.0
Fashion Hoodies & Sweatshirts,The North Face Apex Bionic Soft Shell Jacket - Men's,6321.0
Outerwear & Coats,The North Face Freedom Mens Ski Pants 2013,6321.0
Outerwear & Coats,The North Face Denali Down Womens Jacket 2013,6321.0
Suits & Sport Coats,Robert Graham Men's Barbican Velvet Blazer,6282.0
Pants & Capris,True Religion Women's Casey Stretch Leather Pants,6255.0
Active,Canada Goose Women's Mystique,6000.0
Outerwear & Coats,Woolrich Arctic Parka DF,5940.0
Jeans,True Religion Men's Ricky Super T Straight Jean,5804.0
Outerwear & Coats,The North Face Nuptse 2 Jacket - Noah Green/TNF Black,5418.0
Outerwear & Coats,The North Face Denali Down Mens Jacket 2013,5418.0
Socks,Nike Jordan Retro 11 Bred Bootie Socks,5418.0
Outerwear & Coats,Diesel Men's Lophophora Leather Jacket,5388.0
Outerwear & Coats,Canada Goose Women's Mystique,5250.0
Jeans,7 For All Mankind Men's Austyn Relaxed Straight Leg Jean,5148.0
Dresses,Robert Rodriguez Women's Long Sleeve Fitted Pencil Dress,5135.0
Outerwear & Coats,Arc'teryx Men's Alpha SV Jacket,5000.0
Outerwear & Coats,Canada Goose Men's The Chateau Jacket,4890.0
Outerwear & Coats,Canada Goose Men's Langford Parka,4864.650085449219
Suits & Sport Coats,Robert Graham Men's Minstrel Dinner Jacket,4784.0
Outerwear & Coats,Nobis Yatesy Parka,4750.0
Outerwear & Coats,Arc'teryx Men's Sabre Jacket,4725.0
Jeans,7 For All Mankind Men's Standard Classic Straight Leg Jean,4671.0
Dresses,Nicole Miller Women's Cutout Back Stretch Lace Dress,4620.0
Jeans,True Religion Men's Ricky Straight Leg Jean,4554.0
Active,NIKE WOMEN'S PRO COMPRESSION SPORTS BRA *Outstanding Support and Comfort*,4515.0
Outerwear & Coats,Mens Nike AirJordan Varsity Hoodie Jacket Grey / Black 451582-066,4515.0
Outerwear & Coats,Levi's Men's Leather Racer Jacket,4379.970016479492
Outerwear & Coats,Arc'teryx Women's Beta AR Jacket,4275.0
Blazers & Jackets,Anne Klein Collection Women's Shawl Collar Jacket,4207.220153808594
Suits & Sport Coats,Harris Tweed Wool Jacket-Dougal Limited Edition,4200.0
Outerwear & Coats,Diesel Men's Lagnum Leather Jacket,4186.0
Outerwear & Coats,Canada Goose Women's Solaris,4170.0
Suits & Sport Coats,Joseph Abboud Men's 2 Button Side Vent Suit With Flat Front Pant,4170.0
Suits & Sport Coats,Ralph Lauren Mens SB 2B Solid Navy Blue Wool Suit,4159.869873046875
Outerwear & Coats,ILSE JACOBSEN Women's Rain 6b Soft Shell Coat,4140.0
Accessories,DOLCE & GABBANA DG4167 501/8G BLACK GRAY GRADIENT 5917,4131.0
Jeans,True Religion Men's Bobby Zipper Jean,4128.0
Outerwear & Coats,Mountain Hardwear Men's Downtown Coat,4125.0
Outerwear & Coats,Nobis Tula Parka,4125.0
Active,Canada Goose Men's The Chateau Jacket,4075.0
Sleep & Lounge,Pure Cashmere Robe for Men,4066.0
Outerwear & Coats,Canada Goose Men's Lodge Down Hoody,4050.0
Outerwear & Coats,Barbour International Motorcycle Jacket / Barbour International Motorcycle Jacket,4041.0
Outerwear & Coats,Women's Knee Length Overcoat in Pure Cashmere,3990.0
